"DeclarableId","MLOC","WMC","CWMC","DIT","NOC","CBO","RFC","LCOM","NOU","LC"
"org.antlr.v4.codegen.model.LL1StarBlockSingleAlt",13,1,0,5,0,10,0,1,1,0
"org.antlr.v4.codegen.model.Action",30,7,4,3,2,22,0,1,3,0
"org.antlr.v4.codegen.model.chunk.ActionText",7,1,0,2,0,1,0,1,1,0
"org.antlr.v4.codegen.model.decl.ContextRuleListGetterDecl",13,3,0,4,1,2,2,1,3,0
"org.antlr.v4.codegen.model.ElementFrequenciesVisitor",139,43,26,1,0,150,39,2,21,0
"org.antlr.v4.tool.GrammarSemanticsMessage",14,2,1,1,0,5,0,1,1,0
"org.antlr.v4.tool.ast.AltAST",17,7,0,3,0,8,3,1,7,0
"org.antlr.v4.codegen.model.chunk.TokenPropertyRef_type",5,1,0,3,0,0,0,1,1,0
"org.antlr.v4.codegen.target.PHPTarget",66,8,0,1,0,8,8,7,8,0
"org.antlr.v4.analysis.LeftRecursiveRuleAnalyzer",288,77,84,1,0,222,61,1,17,0
"org.antlr.v4.codegen.model.decl.RuleContextDecl",8,1,0,3,1,1,0,1,1,0
"org.antlr.v4.misc.MutableInt",17,10,1,0,0,3,9,1,9,0
"org.antlr.v4.semantics.BlankActionSplitterListener",24,11,0,0,1,0,11,11,11,0
"org.antlr.v4.codegen.ParserFactory",223,74,54,2,0,143,68,2,25,0
"org.antlr.v4.codegen.model.chunk.ThisRulePropertyRef_parser",5,1,0,3,0,0,0,1,1,0
"org.antlr.v4.codegen.model.decl.AttributeDecl",9,1,0,3,0,6,0,1,1,0
"org.antlr.v4.tool.ast.ActionAST",21,8,0,3,1,7,5,1,8,0
"org.antlr.v4.parse.ActionSplitterListener",8,6,0,0,0,0,6,6,6,0
"org.antlr.v4.codegen.model.chunk.ActionTemplate",7,1,0,2,0,1,0,1,1,0
"org.antlr.v4.tool.Grammar",808,234,168,0,1,472,143,10,92,0
"org.antlr.v4.codegen.model.InvokeRule",48,8,7,3,0,45,2,1,2,0
"org.antlr.v4.tool.Attribute",23,6,2,0,0,2,1,1,4,0
"org.antlr.v4.analysis.LeftRecursiveRuleTransformer",137,22,26,0,0,141,53,1,5,0
"org.antlr.v4.tool.LabelType",7,0,0,0,0,30,0,0,0,0
"org.antlr.v4.codegen.OutputModelWalker",82,19,31,0,0,56,20,1,2,0
"org.antlr.v4.codegen.model.decl.CodeBlock",36,12,5,2,1,20,9,2,7,0
"org.antlr.v4.codegen.model.decl.ContextGetterDecl",25,9,3,3,4,10,7,2,6,0
"org.antlr.v4.codegen.model.CodeBlockForOuterMostAlt",9,2,1,4,0,7,0,1,1,0
"org.antlr.v4.codegen.ActionTranslator",212,48,25,0,0,174,53,1,17,0
"org.antlr.v4.automata.ATNPrinter",72,29,46,0,0,101,18,1,3,0
"org.antlr.v4.codegen.target.DartTarget",45,7,0,1,0,7,7,6,7,0
"org.antlr.v4.gui.TestRig",158,39,47,0,0,106,33,1,4,0
"org.antlr.v4.codegen.model.RuleActionFunction",15,1,0,1,1,10,0,1,1,0
"org.antlr.v4.codegen.model.ParserFile",23,2,1,2,0,21,0,1,1,0
"org.antlr.v4.codegen.model.chunk.TokenPropertyRef_int",5,1,0,3,0,0,0,1,1,0
"org.antlr.v4.codegen.model.chunk.TokenPropertyRef",7,1,0,2,7,1,0,1,1,0
"org.antlr.v4.parse.ResyncToEndOfRuleBlock",0,0,0,0,0,0,0,0,0,0
"org.antlr.v4.semantics.SymbolCollector",107,26,4,1,0,64,31,1,22,0
"org.antlr.v4.tool.LeftRecursionCyclesMessage",22,7,9,1,0,5,2,1,2,0
"org.antlr.v4.tool.ANTLRToolListener",5,3,0,0,0,0,3,3,3,0
"org.antlr.v4.codegen.model.Parser",8,1,0,2,0,2,0,1,1,0
"org.antlr.v4.codegen.model.LabeledOp",3,1,0,0,0,0,1,1,1,0
"org.antlr.v4.codegen.target.Python3Target",62,7,0,1,0,4,5,6,7,0
"org.antlr.v4.analysis.LeftRecursionDetector",67,18,22,0,0,42,14,1,4,0
"org.antlr.v4.automata.CharactersDataCheckStatus",8,1,0,0,0,2,0,1,1,0
"org.antlr.v4.tool.DOTGenerator",248,74,133,0,0,230,34,1,8,0
"org.antlr.v4.codegen.model.OutputFile",28,6,4,1,4,17,7,1,3,0
"org.antlr.v4.codegen.model.chunk.SymbolRefChunk",9,1,0,2,6,2,0,1,1,0
"org.antlr.v4.tool.AttributeDict",40,12,2,0,0,37,11,2,9,0
"org.antlr.v4.semantics.BasicSemanticChecks",408,125,100,1,0,332,73,4,41,0
"org.antlr.v4.semantics.UseDefAnalyzer",51,11,12,0,0,37,22,1,5,0
"org.antlr.v4.codegen.CodeGenerator",137,47,10,0,0,79,57,1,39,0
"org.antlr.v4.codegen.model.decl.ContextTokenListIndexedGetterDecl",14,4,0,5,0,1,3,2,4,0
"org.antlr.v4.codegen.CodeGenPipeline",98,30,74,0,0,94,22,1,3,0
"org.antlr.v4.gui.TreeLayoutAdaptor",71,8,0,0,0,20,12,2,8,0
"org.antlr.v4.parse.ToolANTLRParser",33,8,4,0,0,18,10,1,4,0
"org.antlr.v4.tool.ast.QuantifierAST",3,1,0,0,0,0,1,1,1,0
"org.antlr.v4.codegen.DefaultOutputModelFactory",42,17,2,1,2,26,20,1,15,0
"org.antlr.v4.codegen.model.dbg",0,0,0,1,0,0,0,0,0,0
"org.antlr.v4.tool.BuildDependencyGenerator",145,36,35,0,0,122,38,1,9,0
"org.antlr.v4.codegen.model.LL1OptionalBlock",5,1,0,6,0,0,0,1,1,0
"org.antlr.v4.codegen.model.Wildcard",5,1,0,4,0,0,0,1,1,0
"org.antlr.v4.tool.ast.RuleAST",29,12,5,3,0,11,12,4,8,0
"org.antlr.v4.tool.LabelElementPair",30,12,14,0,0,30,2,1,3,0
"org.antlr.v4.codegen.model.CodeBlockForAlt",5,1,0,3,1,0,0,1,1,0
"org.antlr.v4.tool.ast.TerminalAST",10,6,0,3,0,2,3,1,6,0
"org.antlr.v4.codegen.model.OptionalBlock",8,1,0,5,0,0,0,1,1,0
"org.antlr.v4.codegen.model.decl.StructDecl",79,24,17,3,1,55,14,2,9,0
"org.antlr.v4.tool.ast.SetAST",10,4,0,2,0,2,3,1,4,0
"org.antlr.v4.automata.ParserATNFactory",470,121,105,0,1,335,93,3,43,0
"org.antlr.v4.tool.ErrorSeverity",11,2,0,0,0,1,1,1,2,0
"org.antlr.v4.misc.FrequencySet",17,5,3,1,0,4,5,1,2,0
"org.antlr.v4.codegen.model.StarBlock",13,1,0,5,0,9,0,1,1,0
"org.antlr.v4.gui.JFileChooserConfirmOverwrite",18,4,3,0,0,5,4,2,2,0
"org.antlr.v4.parse.ScopeParser",239,82,103,0,0,149,32,1,7,0
"org.antlr.v4.codegen.target.GoTarget",92,21,10,1,0,41,24,2,9,0
"org.antlr.v4.codegen.model.ArgAction",7,1,0,4,0,1,0,1,1,0
"org.antlr.v4.tool.GrammarInterpreterRuleContext",16,5,0,1,0,1,4,2,5,0
"org.antlr.v4.codegen.model.ThrowEarlyExitException",5,1,0,3,0,0,0,1,1,0
"org.antlr.v4.parse.v4ParserException",8,2,0,1,0,1,0,1,2,0
"org.antlr.v4.codegen.model.CaptureNextTokenType",7,1,0,2,0,1,0,1,1,0
"org.antlr.v4.tool.LeftRecursiveRule",88,31,37,1,0,58,18,1,8,0
"org.antlr.v4.tool.AttributeResolver",8,6,0,0,0,0,5,5,6,0
"org.antlr.v4.gui.Interpreter",218,55,62,0,0,137,40,1,5,0
"org.antlr.v4.analysis.LeftRecursiveRuleAltInfo",26,2,0,0,0,6,0,1,2,0
"org.antlr.v4.codegen.model.MatchSet",13,1,0,4,1,13,0,1,1,0
"org.antlr.v4.codegen.model.decl.RuleContextListDecl",6,1,0,4,0,1,0,1,1,0
"org.antlr.v4.codegen.model.chunk.SetAttr",7,1,0,3,1,1,0,1,1,0
"org.antlr.v4.automata.ATNOptimizer",109,32,75,0,0,83,31,2,4,0
"org.antlr.v4.codegen.model.LL1OptionalBlockSingleAlt",19,1,0,5,0,10,0,1,1,0
"org.antlr.v4.codegen.model.chunk.TokenPropertyRef_line",5,1,0,3,0,0,0,1,1,0
