"DeclarableId","MLOC","WMC","CWMC","DIT","NOC","CBO","RFC","LCOM","NOU","LC"
"org.elasticsearch.cluster.metadata.MetadataDeleteIndexService",106,14,15,0,0,87,43,1,3,0
"org.elasticsearch.indices.recovery.plan.ShardSnapshotsService",141,9,5,0,0,86,46,1,4,2
"org.elasticsearch.common.util.LongObjectPagedHashMap",130,31,28,1,0,46,20,1,11,0
"org.elasticsearch.index.shard.IndexShard",2751,524,374,1,0,1289,518,3,221,38
"org.elasticsearch.lucene.analysis.miscellaneous.DuplicateByteSequenceSpotter",134,10,3,0,0,65,8,2,7,0
"org.elasticsearch.index.reindex.DeleteByQueryRequest",92,28,8,0,0,35,28,10,20,0
"org.elasticsearch.rest.action.admin.cluster.RestCloneSnapshotAction",20,3,0,1,0,21,20,3,3,1
"org.elasticsearch.search.aggregations.bucket.range.RangeAggregatorFactory",28,1,0,0,0,1,0,1,1,0
"org.elasticsearch.action.admin.cluster.tasks.PendingClusterTasksAction",7,1,0,0,0,6,0,1,1,0
"org.elasticsearch.search.aggregations.metrics.Max",63,22,9,0,0,36,22,2,13,0
"org.elasticsearch.script.field.DoubleDocValuesField",67,19,8,0,0,16,17,1,11,0
"org.elasticsearch.common.inject.spi.ScopeBinding",22,5,0,0,0,7,5,1,5,0
"org.elasticsearch.common.util.FloatArray",6,4,0,2,0,0,3,3,4,0
"org.elasticsearch.search.aggregations.metrics.AbstractHyperLogLogPlusPlus",96,31,27,1,2,48,38,3,12,0
"org.elasticsearch.search.profile.AbstractProfileBreakdown",35,9,3,0,0,28,13,3,6,0
"org.elasticsearch.search.aggregations.bucket.terms.MapStringTermsAggregator",346,10,4,7,0,149,17,1,7,7
"org.elasticsearch.rest.action.admin.cluster.RestGetFeatureUpgradeStatusAction",16,4,0,1,0,11,11,4,4,1
"org.elasticsearch.action.ingest.SimulateExecutionService",62,11,18,0,0,44,26,1,3,4
"org.elasticsearch.search.aggregations.bucket.terms.heuristic.MutualInformation",79,16,7,2,0,44,13,4,9,0
"org.elasticsearch.search.aggregations.metrics.ParsedStats",133,25,5,1,2,96,31,3,17,13
"org.elasticsearch.action.admin.cluster.snapshots.features.ResetFeatureStateRequest",26,7,2,0,0,9,7,2,5,0
"org.elasticsearch.tasks.TaskCancelledException",11,3,0,1,0,1,1,2,3,0
"org.elasticsearch.ingest.IngestInfo",44,14,6,0,0,21,16,1,8,0
"org.elasticsearch.timeseries.support.TimeSeriesMetrics",330,29,26,0,0,216,56,1,10,5
"org.elasticsearch.search.aggregations.AbstractAggregationBuilder",95,30,12,1,0,38,29,1,17,0
"org.elasticsearch.search.aggregations.bucket.sampler.ParsedSampler",8,2,0,2,0,2,4,2,2,0
"org.elasticsearch.index.translog.ChannelFactory",6,2,0,0,0,3,1,1,2,0
"org.elasticsearch.search.suggest.SuggestionBuilder",231,74,44,0,0,161,56,1,28,0
"org.elasticsearch.cluster.metadata.Manifest",104,18,2,0,0,63,27,3,14,3
"org.elasticsearch.plugins.ExtensiblePlugin",6,1,0,0,0,0,1,1,1,0
"org.elasticsearch.indices.recovery.RecoveryTargetHandler",38,9,0,0,0,0,9,9,9,0
"org.elasticsearch.rest.action.admin.indices.RestAnalyzeAction",19,3,0,1,0,13,12,3,3,1
"org.elasticsearch.cluster.coordination.JoinHelper",361,20,16,0,0,187,62,1,9,10
"org.elasticsearch.index.query.QueryBuilders",246,77,0,0,0,82,89,16,77,0
"org.elasticsearch.reservedstate.service.ErrorState",8,3,0,0,0,2,3,2,3,0
"org.elasticsearch.search.aggregations.InternalMultiBucketAggregation",135,35,29,1,0,62,34,2,15,0
"org.elasticsearch.index.fielddata.IndexNumericFieldData",143,25,6,0,6,26,20,2,10,1
"org.elasticsearch.indices.recovery.RecoveryCleanFilesRequest",53,8,0,3,0,23,9,1,8,0
"org.elasticsearch.action.admin.indices.settings.put.UpdateSettingsClusterStateUpdateRequest",18,4,0,0,0,4,3,1,4,0
"org.elasticsearch.index.translog.OperationListener",3,1,0,0,0,0,1,1,1,0
"org.elasticsearch.action.index.IndexAction",7,1,0,0,0,8,0,1,1,0
