"DeclarableId","ULOC","CC","COCO","PC","LLOC"
"org.springframework.core.annotation.MergedAnnotationPredicates://typeIn$[75:38,79:1]",4,2,3,1,3
"org.springframework.core.annotation.MergedAnnotationPredicates://firstRunOf$[95:38,99:1]",4,1,0,1,0
"org.springframework.core.annotation.MergedAnnotationPredicates://unique$[111:41,115:1]",4,1,0,1,0
"org.springframework.core.annotation.MergedAnnotationCollectors://MergedAnnotationCollectors.constructor$[48:9,49:1]",2,1,0,0,0
"org.springframework.core.annotation.MergedAnnotationCollectors://toAnnotationSet$[63:38,66:1]",4,1,0,0,1
"org.springframework.core.annotation.MergedAnnotationCollectors://toAnnotationArray$[77:38,79:1]",3,1,0,0,0
"org.springframework.core.annotation.MergedAnnotationCollectors://toAnnotationArray$[93:51,98:1]",5,1,0,1,2
"org.springframework.core.annotation.MergedAnnotationCollectors://toMultiValueMap$[111:38,115:1]",4,1,0,1,0
"org.springframework.core.annotation.MergedAnnotationCollectors://toMultiValueMap$[129:38,138:1]",8,2,1,2,1
"org.springframework.core.annotation.MergedAnnotationCollectors://isSameInstance$[141:16,143:1]",3,1,0,2,0
"org.springframework.core.annotation.MergedAnnotationCollectors://combiner$[150:45,153:1]",4,1,0,2,0
"org.springframework.core.annotation.MergedAnnotationCollectors://combiner$[160:23,163:1]",4,1,0,2,0
"org.springframework.asm.TypePath://TypePath.constructor$[72:2,75:2]",4,1,0,2,0
"org.springframework.asm.TypePath://getLength$[82:9,85:2]",3,1,0,0,0
"org.springframework.asm.TypePath://getStep$[94:9,97:2]",3,1,0,1,0
"org.springframework.asm.TypePath://getStepArgument$[106:9,109:2]",3,1,0,1,0
"org.springframework.asm.TypePath://fromString$[119:16,154:2]",36,15,20,1,0
"org.springframework.asm.TypePath://toString$[162:9,184:2]",19,6,2,0,0
"org.springframework.asm.TypePath://put$[193:9,200:2]",8,3,2,2,0
"org.springframework.core.convert.support.ByteBufferConverter://ByteBufferConverter.constructor$[50:8,52:1]",3,1,0,1,0
"org.springframework.core.convert.support.ByteBufferConverter://getConvertibleTypes$[56:8,58:1]",3,1,0,0,0
