"DeclarableId","MLOC","WMC","CWMC","DIT","NOC","CBO","RFC","LCOM","NOU","LC"
"org.springframework.core.DefaultParameterNameDiscoverer",11,3,2,1,0,5,0,1,1,0
"org.springframework.core.convert.support.ArrayToArrayConverter",25,7,4,0,0,15,9,2,4,0
"org.springframework.core.InfrastructureProxy",3,1,0,0,0,0,1,1,1,0
"org.springframework.core.io.support.ResourcePatternUtils",16,7,5,0,0,5,4,1,2,0
"org.springframework.core.convert.converter.Converter",10,3,2,0,0,0,3,1,2,1
"org.springframework.core.env.CompositePropertySource",49,14,9,0,0,26,17,1,8,0
"org.springframework.core.ParameterNameDiscoverer",4,2,0,0,0,0,1,1,2,0
"org.springframework.util.ConcurrentLruCache",356,27,15,0,0,181,34,1,15,0
"org.springframework.cglib.transform.FieldVisitorTee",24,5,0,1,0,13,5,1,5,0
"org.springframework.asm.TypeReference",114,39,1,0,0,32,19,2,19,0
"org.springframework.core.io.support.PropertiesLoaderSupport",71,22,25,0,0,29,19,2,10,0
"org.springframework.core.type.filter.AssignableTypeFilter",34,10,5,1,0,14,12,1,6,0
"org.springframework.core.DecoratingProxy",3,1,0,0,0,0,1,1,1,0
"org.springframework.core.codec.Netty5BufferDecoder",23,6,3,0,0,13,13,3,3,0
"org.springframework.util.xml.XMLEventStreamWriter",157,38,2,0,0,129,50,2,36,0
"org.springframework.cglib.proxy.Proxy",54,8,3,0,0,32,17,2,5,1
"org.springframework.util.AlternativeJdkIdGenerator",22,4,2,0,0,11,3,1,2,0
"org.springframework.core.io.buffer.Netty5DataBuffer",200,61,31,0,0,119,50,1,38,0
"org.springframework.core.codec.AbstractDecoder",31,9,4,0,0,8,7,1,6,0
"org.springframework.core.NativeDetector",6,1,0,0,0,6,1,1,1,0
"org.springframework.core.env.PropertySource",66,14,4,0,0,21,15,1,10,0
"org.springframework.core.annotation.MergedAnnotation",100,55,0,0,0,31,48,46,55,0
"org.springframework.core.io.UrlResource",125,39,22,2,1,72,25,1,19,0
"org.springframework.core.metrics.jfr.FlightRecorderApplicationStartup",14,2,0,0,0,16,6,1,2,1
"org.springframework.cglib.proxy.BridgeMethodResolver",66,5,5,0,0,0,12,1,2,0
"org.springframework.core.convert.support.StringToNumberConverterFactory",17,1,0,0,0,5,2,1,1,0
"org.springframework.core.OrderComparator",75,29,30,0,1,16,13,4,10,1
"org.springframework.core.io.buffer.DataBufferInputStream",59,14,5,1,0,33,13,2,9,0
"org.springframework.core.io.buffer.DataBufferOutputStream",31,8,3,1,0,14,5,1,5,0
"org.springframework.core.io.buffer.LimitedDataBufferList",74,20,7,0,0,28,16,2,15,3
"org.springframework.core.NestedCheckedException",42,14,14,0,0,7,5,2,5,0
"org.springframework.cglib.util.SorterTemplate",143,41,49,0,1,21,10,2,10,0
"org.springframework.aot.hint.ReflectionHints",57,16,2,0,0,32,27,1,14,4
"org.springframework.core.style.ToStringCreator",61,18,4,0,0,36,8,1,14,0
"org.springframework.core.convert.support.PropertiesToStringConverter",12,2,1,0,0,5,5,1,1,0
"org.springframework.cglib.core.Predicate",3,1,0,0,0,0,1,1,1,0
"org.springframework.asm.Opcodes",0,0,0,0,0,202,0,0,0,0
"org.springframework.core.convert.Property",163,51,40,0,0,87,38,1,19,0
"org.springframework.cglib.beans.BeanGenerator",100,30,16,1,0,39,34,2,14,0
"org.springframework.aot.hint.ConditionalHint",10,3,1,0,0,2,4,1,2,0
"org.springframework.util.function.ThrowingFunction",34,8,2,0,0,5,6,1,6,0
"org.springframework.core.io.ClassRelativeResourceLoader",25,2,0,1,0,9,2,1,2,0
"org.springframework.util.xml.StaxUtils",104,38,14,0,0,36,32,1,24,1
"org.springframework.core.convert.support.CollectionToArrayConverter",29,6,2,0,0,16,13,2,4,0
"org.springframework.cglib.core.EmitUtils",750,138,117,0,0,557,139,2,42,8
"org.springframework.cglib.proxy.FixedValue",3,1,0,1,0,0,1,1,1,0
"org.springframework.core.convert.converter.ConverterRegistry",7,5,0,0,0,0,3,3,5,0
"org.springframework.aot.generate.FileSystemGeneratedFiles",37,8,2,0,0,25,15,1,4,1
"org.springframework.core.log.LogFormatUtils",42,13,12,0,0,27,12,1,3,0
"org.springframework.util.FileCopyUtils",88,14,4,0,0,37,16,1,10,0
"org.springframework.core.io.support.LocalizedResourceHelper",43,15,14,0,0,34,9,1,4,0
"org.springframework.core.env.CommandLineArgs",27,8,2,0,0,21,14,1,6,0
"org.springframework.core.GenericTypeResolver",162,46,72,0,0,98,42,2,12,1
"org.springframework.util.function.SingletonSupplier",58,17,12,0,0,28,6,1,10,0
"org.springframework.cglib.core.NamingPolicy",4,2,0,0,0,0,2,2,2,0
"org.springframework.util.MimeTypeUtils",202,45,50,0,0,128,48,2,11,0
"org.springframework.core.convert.support.ConversionServiceFactory",20,8,9,0,0,7,4,2,2,0
"org.springframework.aot.hint.predicate.ResourceHintsPredicates",48,10,6,0,0,38,21,3,5,6
"org.springframework.core.SortedProperties",52,19,12,1,0,35,16,1,9,0
"org.springframework.core.type.filter.RegexPatternTypeFilter",10,2,0,1,0,6,4,1,2,0
"org.springframework.core.env.ConfigurablePropertyResolver",10,8,0,1,0,0,8,8,8,0
"org.springframework.aot.hint.ResourcePatternHints",66,3,0,0,0,37,2,1,3,2
"org.springframework.core.annotation.AnnotationTypeMapping",536,128,131,0,0,355,83,2,38,2
"org.springframework.util.DigestUtils",83,21,6,0,0,17,16,2,16,0
"org.springframework.core.annotation.AnnotationUtils",444,130,104,0,0,240,93,2,50,2
"org.springframework.core.SpringProperties",46,13,8,0,0,21,9,2,6,0
"org.springframework.core.annotation.OrderUtils",46,15,9,0,0,24,11,2,7,0
"org.springframework.util.MultiValueMapAdapter",86,29,7,0,0,60,27,1,23,3
"org.springframework.core.convert.support.FallbackObjectToStringConverter",17,7,3,0,0,5,9,3,3,0
